stableRowId,canonicalRelationshipId,sourceEvidence,sourceSha256,sourceAssetKind,role,ownerKind,ownerMigrationKey,currentAutomatedClassification,proposedDecision,privacyStatus,reviewStatus,auditFingerprint,ownerDecision,ownerNotes,reviewer,reviewedAt,evidenceChecked,followUpAction,resolutionStatus,uatRelevance,cutoverBlocker
"p14-owner-e43f91d614c693c23d935100","wix:asset:wix:activity:on53s:63c5813e350ad318e10f","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","ff51bb1a0a5aa307297aed746e5b1765a8fc40d35dc7e0736515060021e516a8","image","gallery","activity","wix:activity:on53s","requires-owner-review","manual-review-required","private-draft","requires-owner-review","4123463394ca73eac7d1ad48c2466c2d06098dae1b2da3394e1ca763328995ac","","","","","","","","",""
"p14-owner-e555765f0da6afa8f397cf68","wix:asset:wix:activity:t4l6d:7c0d7eb75fd7adf0bd6f","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","476f4ac26d9ad0490566d6e1281962e406f1d10d1aa310ca65cd50380d211a0c","document","attachment","activity","wix:activity:t4l6d","requires-owner-review","manual-review-required","private-draft","requires-owner-review","0f71c98656b8067b4a483bab523d9d74163078f4516a39a33a9460f47b1460d2","","","","","","","","",""
"p14-owner-e562c829340b1a8f8b574a3d","wix:asset:wix:activity:ad87y:05e5c48b71a6c9daf791","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","ff5097c9247758204c46bf25c63459da4b55b91c8916f84c68ab8853e41f1092","document","attachment","activity","wix:activity:ad87y","requires-owner-review","manual-review-required","private-draft","requires-owner-review","dcd15670839cf33767451d7771c83b38d2dd1fcb8886c3e46c8e36b65e17636e","","","","","","","","",""
"p14-owner-e5d2e76dcac54408452f1c1b","wix:asset:wix:activity:acrjz:55766c2f80abe7ad0d24","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","89f8d2572ca5982f6a5392dc7f0310bcd9681197fbef14dd6ff0c73c1b151c7f","document","attachment","activity","wix:activity:acrjz","requires-owner-review","manual-review-required","private-draft","requires-owner-review","50819b02988d29029c81f8a1f0af87fabd9b988080751512b935b9259b5d2fdb","","","","","","","","",""
"p14-owner-e67f041d49d7bb8850bf1393","wix:asset:wix:file:72d413405514683aa64f5891:72d413405514683aa64f","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","72d413405514683aa64f5891ceed7d67de7800d724048f4e68da0b090889a8c7","document","download","file","wix:file:72d413405514683aa64f5891","requires-owner-review","manual-review-required","private-draft","requires-owner-review","2c347287e4ea1d5985bd39461607c5565ee1db8c822b2b8b3e736aff626bb0fe","","","","","","","","",""
"p14-owner-e6c873899eaea60d85a29587","wix:asset:wix:activity:on53s:2bda63ce91f8ff86b8a6","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","76207cad6e03a4d92794905fdb821c3c4c02b6c9a33084305d343013b78cf4ca","image","gallery","activity","wix:activity:on53s","requires-owner-review","manual-review-required","private-draft","requires-owner-review","3af85f1ea3674e6b2435eeb174d27614d142ac51e6a5af7c6331ff15c7edff5c","","","","","","","","",""
"p14-owner-e82821a073f7fd5fb20f6946","wix:asset:wix:activity:ra9kd:527a0ad22dcbbda7db60","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","b9b2f9c387607fafaf15557beb36ecfb878bb688a6b0c2109a7694e98134c093","document","attachment","activity","wix:activity:ra9kd","requires-owner-review","manual-review-required","private-draft","requires-owner-review","c0986ce0efbd4c5210c574dc0f60779e9b59e53597255efc84a60c85a1f15954","","","","","","","","",""
"p14-owner-e98d1376107d2c939c3f8b70","source-only:wix:asset-source:ad7c183ac3d0efeeabf119a0218123fbe9bbdb8b34c56265f562d51357f715c1","[""migration/phase9/source-inventory.jsonl""]","ad7c183ac3d0efeeabf119a0218123fbe9bbdb8b34c56265f562d51357f715c1","image","unknown","unresolved","","accepted_skip","manual-review-required","public-source","requires-owner-review","083073d1135f9f8249caad3694bb39b275acfca02aadc0177b15186cc0f39a2a","","","","","","","","",""
"p14-owner-ebc14798b14d2535b03903ea","wix:asset:wix:activity:ay10r:ca478597d8e773826c85","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","6380245b1770f0ff481b3f74a1673bce1e16a10ab12871c60bbe5eb03ca2eb72","image","gallery","activity","wix:activity:ay10r","requires-owner-review","manual-review-required","private-draft","requires-owner-review","b9818316807ac17b9bd6585b7d9d73f31b3f1ab82f4843dde9f367055a2e5543","","","","","","","","",""
"p14-owner-ebe3a58426991486ff86d7f5","wix:asset:wix:activity:jd4jc:897a7161fec492b39584","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","530f24c7a4354ef35e4468776e4532b8b1e4f09d5bf2f7a80dc01a1c92bd90b2","document","attachment","activity","wix:activity:jd4jc","requires-owner-review","manual-review-required","private-draft","requires-owner-review","59e61fd8b9820aacfd43fadf1dbba8afca09530be0835ca2f5a1abd4083e50e6","","","","","","","","",""
